name,developer,director,publisher,date,pegi,summary,page_reference,image,validate,saga,platform_name
Resident Evil Village,Capcom,Morimasa Sato,Capcom,2021-4-3,18,,https://es.wikipedia.org/wiki/Resident_Evil_Village,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Resident_Evil_8_Village_Logo.svg/320px-Resident_Evil_8_Village_Logo.svg.png,pending,Resident Evil,Xbox One X
Assassin's Creed Valhalla,Ubisoft Montreal,Patrice D�silets,,2007-11-13,16,,https://es.wikipedia.org/wiki/Assassin's_Creed:_Valhalla,https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/styles/1200/public/media/image/2020/04/caratula-assassins-creed-valhalla-1931677.jpg?itok=5zmdlykn,pending,Assassins Creed,PlayStation 5
